,zip_code,neighborhood,community,rent_2024,mean_rent,0br_2019,0br_2020,0br_2021,0br_2022,0br_2023,population,median_household_income,unemployment_rate,average_household_size,crime_rate,average_temp,median_age,white_population,black_population,native_population,asian_population,latino_population,rent_growth_2019_to_2020,rent_growth_2020_to_2021,rent_growth_2021_to_2022,rent_growth_2022_to_2023,predicted_growth_2023_to_2024
21,90023,Commerce,Commerce,1333.0,1134.0,970.0,1050,1160,1240,1250,45939,52918,0.088,3.52,15.0,62.1,31.7,0.371,0.013,0.034,0.011,0.957,0.08247422680412371,0.10476190476190476,0.06896551724137931,0.008064516129032258,0.06606654123411002
22,90024,Westwood,Los Angeles ,2468.0,2018.0,1740.0,1920,2050,2080,2300,52862,74852,0.097,2.09,27.1,65.2,22.9,0.629,0.058,0.012,0.311,0.131,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
23,90025,"Sawtelle, West Los Angeles",Los Angeles,2475.0,2010.0,1720.0,1900,2050,2080,2300,45466,103511,0.069,1.99,27.1,65.8,34.8,0.693,0.047,0.012,0.265,0.127,0.10465116279069768,0.07894736842105263,0.014634146341463415,0.10576923076923077,0.07600047708061113
24,90026,Echo Park,Los Angeles ,1591.0,1298.0,1110.0,1230,1320,1350,1480,63329,80549,0.077,2.4,27.1,65.2,36.1,0.483,0.059,0.028,0.153,0.485,0.10810810810810811,0.07317073170731707,0.022727272727272728,0.0962962962962963,0.07507560220974856
25,90027,"Griffith Park, Hollywood, Los Feliz",Los Angeles ,1895.0,1566.0,1350.0,1490,1600,1620,1770,44471,86826,0.084,2.02,27.1,65.2,38.1,0.72,0.05,0.015,0.143,0.22,0.1037037037037037,0.0738255033557047,0.0125,0.09259259259259259,0.07065544991300024
26,90028,Hollywood,Los Angeles ,1931.0,1624.0,1400.0,1540,1670,1700,1810,32330,57258,0.103,1.69,27.1,65.2,36.5,0.578,0.117,0.029,0.162,0.287,0.1,0.08441558441558442,0.017964071856287425,0.06470588235294118,0.06677138465620326
27,90029,East Hollywood,Los Angeles ,1578.0,1276.0,1110.0,1210,1280,1310,1470,34695,56529,0.101,2.52,27.1,65.2,36.7,0.414,0.039,0.017,0.176,0.511,0.09009009009009009,0.05785123966942149,0.0234375,0.12213740458015267,0.07337905858491606
28,90031,"Lincoln Heights, Montecito Heights",Los Angeles,1333.0,1136.0,970.0,1060,1160,1240,1250,37333,59889,0.087,3.09,27.1,65.8,38.2,0.249,0.029,0.024,0.302,0.59,0.09278350515463918,0.09433962264150944,0.06896551724137931,0.008064516129032258,0.06603829029164004
29,90032,Monterey Hills,Los Angeles,1332.0,1154.0,1010.0,1100,1160,1240,1260,43506,76608,0.093,3.25,27.1,65.8,37.4,0.385,0.034,0.031,0.138,0.747,0.0891089108910891,0.05454545454545454,0.06896551724137931,0.016129032258064516,0.05718722873399687
30,90033,Boyle Heights,Los Angeles ,1333.0,1134.0,970.0,1050,1160,1240,1250,46081,50616,0.1,3.47,27.1,65.2,31.8,0.29,0.025,0.029,0.05,0.904,0.08247422680412371,0.10476190476190476,0.06896551724137931,0.008064516129032258,0.06606654123411002
31,90034,Palms,Los Angeles,1988.0,1652.0,1430.0,1580,1690,1700,1860,57152,97511,0.054,2.13,27.1,65.8,34.7,0.57,0.116,0.019,0.226,0.259,0.1048951048951049,0.06962025316455696,0.005917159763313609,0.09411764705882353,0.06863754122044974
32,90035,West Fairfax,Los Angeles ,2143.0,1814.0,1600.0,1750,1850,1850,2020,30294,110520,0.07,2.3,27.1,65.2,36.9,0.784,0.089,0.009,0.091,0.133,0.09375,0.05714285714285714,0.0,0.0918918918918919,0.06069618725868726
33,90036,Melrose,Los Angeles,2468.0,2018.0,1740.0,1920,2050,2080,2300,39549,97583,0.086,1.89,27.1,65.8,36.5,0.696,0.084,0.012,0.222,0.136,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
34,90037,South Los Angeles,Los Angeles,1322.0,1156.0,1000.0,1110,1180,1240,1250,63706,52238,0.08,3.84,27.1,65.8,32.4,0.383,0.17,0.031,0.016,0.799,0.11,0.06306306306306306,0.05084745762711865,0.008064516129032258,0.05799375920480349
35,90038,Hollywood,Los Angeles ,1780.0,1446.0,1260.0,1370,1460,1480,1660,27414,57102,0.075,2.09,27.1,65.2,34.5,0.521,0.097,0.032,0.077,0.523,0.0873015873015873,0.06569343065693431,0.0136986301369863,0.12162162162162163,0.07207881742928238
36,90039,Atwater Village,Los Angeles,1890.0,1538.0,1290.0,1450,1580,1620,1750,28059,108338,0.063,2.31,27.1,65.8,41.4,0.613,0.038,0.044,0.234,0.311,0.12403100775193798,0.0896551724137931,0.02531645569620253,0.08024691358024691,0.07981238736054513
37,90040,Commerce,Commerce,1333.0,1134.0,970.0,1050,1160,1240,1250,12089,62083,0.053,3.52,15.0,62.1,38.3,0.547,0.011,0.051,0.022,0.949,0.08247422680412371,0.10476190476190476,0.06896551724137931,0.008064516129032258,0.06606654123411002
38,90041,Eagle Rock,Los Angeles,1650.0,1384.0,1210.0,1330,1410,1420,1550,26654,111938,0.06,2.69,27.1,65.8,40.4,0.554,0.036,0.039,0.31,0.35,0.09917355371900827,0.06015037593984962,0.0070921985815602835,0.09154929577464789,0.06449135600376651
39,90042,Highland Park,Los Angeles ,1597.0,1324.0,1170.0,1260,1340,1350,1500,58295,89168,0.088,2.75,27.1,65.2,37.7,0.522,0.041,0.064,0.175,0.578,0.07692307692307693,0.06349206349206349,0.007462686567164179,0.1111111111111111,0.06474723452335393
40,90043,Hyde Park,Los Angeles ,1358.0,1176.0,1050.0,1120,1180,1240,1290,46179,63990,0.118,2.55,27.1,65.2,40.8,0.22,0.643,0.02,0.036,0.264,0.06666666666666667,0.05357142857142857,0.05084745762711865,0.04032258064516129,0.05285203337759379
41,90044,Athens,Los Angeles ,1329.0,1138.0,980.0,1060,1160,1240,1250,94354,48386,0.103,3.55,27.1,65.2,31.2,0.328,0.33,0.017,0.011,0.657,0.08163265306122448,0.09433962264150944,0.06896551724137931,0.008064516129032258,0.06325057726828638
42,90045,Los Angeles internation Airport,Los Angeles ,2190.0,1786.0,1540.0,1690,1820,1840,2040,41035,125692,0.064,2.36,27.1,65.2,36.2,0.695,0.114,0.023,0.194,0.195,0.09740259740259741,0.07692307692307693,0.01098901098901099,0.10869565217391304,0.07350258437214958
43,90046,West Hollywood,Los Angeles ,2070.0,1742.0,1540.0,1670,1770,1780,1950,49987,87339,0.084,1.67,9.3,65.2,39.2,0.816,0.085,0.013,0.099,0.154,0.08441558441558442,0.059880239520958084,0.005649717514124294,0.09550561797752809,0.061362789857048725
44,90047,South Los Angeles,Los Angeles ,1411.0,1198.0,1050.0,1150,1220,1240,1330,50154,67018,0.087,3.01,27.1,65.2,37.4,0.202,0.563,0.026,0.018,0.412,0.09523809523809523,0.06086956521739131,0.01639344262295082,0.07258064516129033,0.06127043705993192
45,90048,Mid-City West,Los Angeles ,2468.0,2018.0,1740.0,1920,2050,2080,2300,22604,102244,0.066,1.73,27.1,65.2,39.3,0.847,0.065,0.011,0.1,0.08,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
46,90049,Brentwood,Los Angeles ,2468.0,2018.0,1740.0,1920,2050,2080,2300,36980,161605,0.04,2.18,27.1,65.2,39.4,0.884,0.031,0.006,0.117,0.082,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
47,90056,Ladera Heights,Ladera Heights,2012.0,1602.0,1360.0,1500,1620,1670,1860,8184,123457,0.038,2.52,11.1,64.9,42.7,0.201,0.736,0.05,0.084,0.112,0.10294117647058823,0.08,0.030864197530864196,0.11377245508982035,0.08189445727281819
48,90057,Westlake,Los Angeles ,1518.0,1246.0,1090.0,1190,1260,1270,1420,45510,46513,0.067,2.69,27.1,65.2,34.2,0.287,0.079,0.042,0.186,0.682,0.09174311926605505,0.058823529411764705,0.007936507936507936,0.11811023622047244,0.06915334820870003
49,90058,Vernon,Los Angeles ,1333.0,1134.0,970.0,1050,1160,1240,1250,3751,34093,0.048,2.93,27.1,65.2,29.7,0.488,0.173,0.013,0.005,0.692,0.08247422680412371,0.10476190476190476,0.06896551724137931,0.008064516129032258,0.06606654123411002
50,90059,Willowbrook,Los Angeles ,1333.0,1134.0,970.0,1050,1160,1240,1250,43551,50939,0.143,3.76,27.1,65.2,30.4,0.343,0.291,0.03,0.013,0.7,0.08247422680412371,0.10476190476190476,0.06896551724137931,0.008064516129032258,0.06606654123411002
51,90061,South Los Angeles,Los Angeles ,1312.0,1158.0,1030.0,1110,1160,1240,1250,29570,56837,0.075,3.66,27.1,65.2,32.3,0.388,0.286,0.04,0.015,0.694,0.07766990291262135,0.04504504504504504,0.06896551724137931,0.008064516129032258,0.049936245332019485
52,90062,South Los Angeles,Los Angeles ,1365.0,1170.0,1030.0,1110,1180,1240,1290,32524,61422,0.074,3.37,27.1,65.2,37.6,0.318,0.295,0.026,0.028,0.643,0.07766990291262135,0.06306306306306306,0.05084745762711865,0.04032258064516129,0.057975751061991085
