,zip_code,neighborhood,community,rent_2024,mean_rent,0br_2019,0br_2020,0br_2021,0br_2022,0br_2023,population,median_household_income,unemployment_rate,average_household_size,crime_rate,average_temp,median_age,white_population,black_population,native_population,asian_population,latino_population,rent_growth_2019_to_2020,rent_growth_2020_to_2021,rent_growth_2021_to_2022,rent_growth_2022_to_2023,predicted_growth_2023_to_2024
96,90302,Inglewood,Inglewood,1638.0,1322.0,1130.0,1250,1340,1370,1520,29264,68662,0.085,2.91,6.4,64.9,36.4,0.305,0.474,0.039,0.046,0.438,0.10619469026548672,0.072,0.022388059701492536,0.10948905109489052,0.07751795026546746
97,90303,Inglewood,Inglewood,1509.0,1214.0,1040.0,1140,1230,1260,1400,24490,67598,0.084,2.91,6.4,64.9,34.8,0.325,0.328,0.019,0.029,0.61,0.09615384615384616,0.07894736842105263,0.024390243902439025,0.1111111111111111,0.07765064239711222
98,90304,Inglewood,Inglewood,1332.0,1154.0,1010.0,1100,1160,1240,1260,26058,57647,0.059,2.91,6.4,64.9,33.6,0.474,0.051,0.037,0.058,0.855,0.0891089108910891,0.05454545454545454,0.06896551724137931,0.016129032258064516,0.05718722873399687
99,90305,Inglewood,Inglewood,1770.0,1374.0,1140.0,1280,1390,1440,1620,15367,85466,0.081,2.91,6.4,64.9,47.1,0.131,0.785,0.014,0.019,0.146,0.12280701754385964,0.0859375,0.03597122302158273,0.125,0.0924289351413606
100,90401,Santa Monica,Santa Monica,2418.0,1886.0,1550.0,1790,1920,1960,2210,8167,89892,0.11,1.95,8.3,62.8,39.8,0.808,0.105,0.009,0.111,0.074,0.15483870967741936,0.07262569832402235,0.020833333333333332,0.12755102040816327,0.09396219043573459
101,90402,Santa Monica,Santa Monica,2108.0,1880.0,1710.0,1850,1940,1880,2020,12295,171844,0.03,1.95,8.3,62.8,49.1,0.889,0.015,0.008,0.143,0.117,0.08187134502923976,0.04864864864864865,-0.030927835051546393,0.07446808510638298,0.04351506093318125
102,90403,Santa Monica,Santa Monica,2424.0,1994.0,1710.0,1870,2050,2080,2260,25278,123391,0.052,1.95,8.3,62.8,44.5,0.84,0.036,0.011,0.125,0.119,0.0935672514619883,0.0962566844919786,0.014634146341463415,0.08653846153846154,0.07274913595847296
103,90404,Santa Monica,Santa Monica,1706.0,1460.0,1320.0,1420,1470,1470,1620,21995,87209,0.056,1.95,8.3,62.8,38.6,0.692,0.119,0.023,0.158,0.282,0.07575757575757576,0.035211267605633804,0.0,0.10204081632653061,0.05325241492243504
104,90405,Santa Monica,Santa Monica,1915.0,1666.0,1490.0,1640,1690,1690,1820,27966,101713,0.071,1.95,8.3,62.8,41.3,0.835,0.065,0.024,0.13,0.162,0.10067114093959731,0.03048780487804878,0.0,0.07692307692307693,0.052020505685180754
105,90501,Torrance,Torrance,1640.0,1370.0,1200.0,1310,1390,1410,1540,43990,89926,0.068,2.58,2.6,63.0,38.5,0.427,0.072,0.011,0.306,0.429,0.09166666666666666,0.061068702290076333,0.014388489208633094,0.09219858156028368,0.06483060993141494
106,90502,Torrance,Torrance,1641.0,1408.0,1240.0,1360,1460,1430,1550,18977,95528,0.055,2.58,2.6,63.0,42.2,0.319,0.084,0.025,0.427,0.348,0.0967741935483871,0.07352941176470588,-0.02054794520547945,0.08391608391608392,0.05841793600592436
107,90503,Torrance,Torrance,2000.0,1684.0,1470.0,1620,1720,1730,1880,45386,117364,0.047,2.58,2.6,63.0,41.1,0.479,0.052,0.011,0.454,0.156,0.10204081632653061,0.06172839506172839,0.005813953488372093,0.08670520231213873,0.06407209179719246
108,90504,Torrance,Torrance,1656.0,1418.0,1270.0,1370,1440,1440,1570,32503,101773,0.064,2.58,2.6,63.0,42.9,0.424,0.052,0.012,0.466,0.245,0.07874015748031496,0.051094890510948905,0.0,0.09027777777777778,0.055028206442260405
109,90505,Torrance,Torrance,1911.0,1664.0,1500.0,1620,1700,1680,1820,36643,108857,0.043,2.58,2.6,63.0,44.0,0.527,0.042,0.015,0.427,0.144,0.08,0.04938271604938271,-0.011764705882352941,0.08333333333333333,0.05023783587509078
110,90601,Whittier,Whittier,1551.0,1354.0,1230.0,1330,1370,1360,1480,32625,96209,0.064,3.08,2.8,64.4,39.7,0.518,0.013,0.047,0.078,0.698,0.08130081300813008,0.03007518796992481,-0.0072992700729927005,0.08823529411764706,0.04807800625567731
111,90602,Whittier,Whittier,1504.0,1280.0,1130.0,1240,1300,1310,1420,25521,63956,0.056,3.08,2.8,64.4,34.2,0.444,0.028,0.03,0.037,0.751,0.09734513274336283,0.04838709677419355,0.007692307692307693,0.08396946564885496,0.05934850071467976
112,90603,Whittier,Whittier,2037.0,1754.0,1560.0,1700,1810,1770,1930,21174,117324,0.051,3.08,2.8,64.4,40.9,0.666,0.011,0.026,0.072,0.589,0.08974358974358974,0.06470588235294118,-0.022099447513812154,0.0903954802259887,0.05568637620217687
113,90604,East La Mirada,Whittier,1664.0,1368.0,1170.0,1300,1400,1420,1550,40110,95570,0.036,3.08,2.8,64.4,35.5,0.52,0.017,0.02,0.087,0.691,0.1111111111111111,0.07692307692307693,0.014285714285714285,0.09154929577464789,0.07346729952363755
114,90605,South Whittier,Whittier,1679.0,1350.0,1130.0,1260,1400,1410,1550,40189,94200,0.054,3.08,2.8,64.4,36.0,0.471,0.013,0.028,0.075,0.764,0.11504424778761062,0.1111111111111111,0.007142857142857143,0.09929078014184398,0.08314724904585571
115,90606,Los Nietos,Whittier,1660.0,1374.0,1180.0,1310,1400,1430,1550,32078,86596,0.043,3.08,2.8,64.4,37.5,0.415,0.018,0.026,0.043,0.861,0.11016949152542373,0.06870229007633588,0.02142857142857143,0.08391608391608392,0.07105410923660374
116,90631,La Habra Heights,La Habra Heights,1775.0,1450.0,1270.0,1360,1440,1520,1660,69533,98009,0.067,2.89,0.5,64.9,38.6,0.612,0.031,0.021,0.146,0.566,0.07086614173228346,0.058823529411764705,0.05555555555555555,0.09210526315789473,0.06933762246437461
117,90638,La Mirada,La Mirada,1872.0,1660.0,1500.0,1640,1700,1670,1790,46967,104114,0.048,3.05,1.0,64.9,43.0,0.546,0.026,0.018,0.247,0.468,0.09333333333333334,0.036585365853658534,-0.01764705882352941,0.0718562874251497,0.046031981947153036
118,90640,Montebello,Montebello,1481.0,1232.0,1080.0,1180,1250,1260,1390,62678,72163,0.068,3.2,5.3,64.4,38.1,0.443,0.01,0.043,0.148,0.781,0.09259259259259259,0.059322033898305086,0.008,0.10317460317460317,0.06577230741637521
119,90650,Pico Rivera,Pico Rivera,1587.0,1350.0,1200.0,1310,1370,1370,1500,102891,82539,0.056,3.66,4.8,64.4,35.6,0.389,0.053,0.03,0.149,0.694,0.09166666666666666,0.04580152671755725,0.0,0.0948905109489051,0.058089676083282256
120,90670,Santa Fe Springs,Santa Fe Springs,1624.0,1368.0,1210.0,1310,1400,1390,1530,17761,83259,0.037,3.26,6.7,64.4,38.6,0.457,0.039,0.038,0.1,0.738,0.08264462809917356,0.06870229007633588,-0.007142857142857143,0.10071942446043165,0.06123087137327099
121,90701,Artesia,Artesia,1840.0,1478.0,1280.0,1390,1490,1520,1710,16434,92702,0.091,3.49,5.4,67.2,39.1,0.283,0.042,0.024,0.429,0.353,0.0859375,0.07194244604316546,0.020134228187919462,0.125,0.07575354355777122
122,90703,Cerritos,Cerritos,2468.0,2018.0,1740.0,1920,2050,2080,2300,49735,124240,0.054,3.09,2.9,63.0,46.6,0.225,0.097,0.009,0.655,0.141,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
123,90706,Bellflower,Bellflower,1544.0,1300.0,1130.0,1250,1330,1340,1450,79179,75379,0.084,3.22,5.7,63.0,35.5,0.385,0.136,0.029,0.128,0.601,0.10619469026548672,0.064,0.007518796992481203,0.08208955223880597,0.06495075987419348
124,90710,Harbor City,Los Angeles,1378.0,1174.0,1030.0,1110,1190,1240,1300,26605,75114,0.078,2.95,27.1,65.8,39.6,0.481,0.165,0.047,0.238,0.456,0.07766990291262135,0.07207207207207207,0.04201680672268908,0.04838709677419355,0.06003646962039402
125,90712,Lakewood,Lakewood,2251.0,1710.0,1380.0,1570,1740,1820,2040,32332,119143,0.052,3.08,9.8,64.9,37.8,0.54,0.139,0.015,0.213,0.355,0.13768115942028986,0.10828025477707007,0.04597701149425287,0.12087912087912088,0.10320438664268342
126,90713,Lakewood,Lakewood,2147.0,1882.0,1710.0,1840,1920,1890,2050,28755,123809,0.056,3.08,9.8,64.9,39.6,0.689,0.06,0.024,0.184,0.303,0.07602339181286549,0.043478260869565216,-0.015625,0.08465608465608465,0.04713318433462884
127,90715,Lakewood,Lakewood,1851.0,1492.0,1250.0,1400,1540,1560,1710,20999,89113,0.065,3.08,9.8,64.9,36.7,0.361,0.113,0.029,0.283,0.431,0.12,0.1,0.012987012987012988,0.09615384615384616,0.08228521478521479
128,90716,Hawaiian Gardens,Hawaiian Gardens,1584.0,1302.0,1130.0,1240,1320,1340,1480,14098,73784,0.049,3.79,5.8,65.4,32.5,0.369,0.033,0.041,0.131,0.773,0.09734513274336283,0.06451612903225806,0.015151515151515152,0.1044776119402985,0.07037259721685862
129,90723,Paramount,Paramount,1545.0,1276.0,1090.0,1220,1310,1320,1440,53770,67130,0.053,3.68,5.9,63.6,31.9,0.4,0.104,0.026,0.044,0.813,0.11926605504587157,0.07377049180327869,0.007633587786259542,0.09090909090909091,0.07289480638612518
130,90731,San Pedro,Los Angeles,1605.0,1300.0,1110.0,1230,1320,1350,1490,61270,69019,0.066,2.62,27.1,65.8,38.1,0.675,0.075,0.041,0.084,0.577,0.10810810810810811,0.07317073170731707,0.022727272727272728,0.1037037037037037,0.07692745406160041
131,90732,San Pedro,Los Angeles,2336.0,1908.0,1620.0,1810,1960,1980,2170,21397,115120,0.059,2.46,27.1,65.8,45.6,0.768,0.06,0.021,0.142,0.32,0.11728395061728394,0.08287292817679558,0.01020408163265306,0.09595959595959595,0.07658013909658214
132,90740,Long Beach ,Long Beach ,2392.0,1875.0,1250.0,1710,1830,1870,2090,24769,75007,0.043,2.65,5.3,64.9,60.8,0.816,0.023,0.021,0.15,0.125,0.368,0.07017543859649122,0.02185792349726776,0.11764705882352941,0.1444201052293221
133,90744,Wilmington,Los Angeles ,1316.0,1156.0,1020.0,1110,1160,1240,1250,53074,58869,0.069,3.62,27.1,65.2,32.1,0.684,0.043,0.017,0.043,0.884,0.08823529411764706,0.04504504504504504,0.06896551724137931,0.008064516129032258,0.05257759313327592
134,90745,Carson,Carson,1668.0,1346.0,1160.0,1280,1360,1380,1550,59937,103471,0.06,3.56,4.7,63.0,40.5,0.364,0.082,0.022,0.386,0.46,0.10344827586206896,0.0625,0.014705882352941176,0.12318840579710146,0.07596064100302789
135,90746,Carson,Carson,1990.0,1678.0,1500.0,1600,1700,1710,1880,27147,109596,0.085,3.56,4.7,63.0,43.6,0.163,0.662,0.021,0.115,0.202,0.06666666666666667,0.0625,0.0058823529411764705,0.09941520467836257,0.058616056071551424
136,90802,Long Beach,Long Beach,1750.0,1418.0,1230.0,1350,1420,1460,1630,41686,69613,0.078,2.65,5.3,64.9,35.3,0.593,0.169,0.029,0.102,0.384,0.0975609756097561,0.05185185185185185,0.028169014084507043,0.11643835616438356,0.07350504942762463
137,90803,Belmont Shore,Long Beach,2180.0,1782.0,1530.0,1690,1820,1840,2030,32192,107889,0.048,2.65,5.3,64.9,46.6,0.835,0.05,0.024,0.088,0.183,0.10457516339869281,0.07692307692307693,0.01098901098901099,0.10326086956521739,0.07393703021899953
138,90804,East Long Beach,Long Beach ,1544.0,1264.0,1090.0,1200,1280,1310,1440,39370,64160,0.048,2.65,5.3,64.9,34.0,0.557,0.149,0.019,0.16,0.454,0.10091743119266056,0.06666666666666667,0.0234375,0.09923664122137404,0.07256455977017531
139,90805,North Long Beach,Long Beach,1418.0,1186.0,1030.0,1130,1200,1240,1330,95350,64848,0.076,2.65,5.3,64.9,32.5,0.309,0.207,0.031,0.124,0.599,0.0970873786407767,0.061946902654867256,0.03333333333333333,0.07258064516129033,0.0662370649475669
140,90806,Long Beach,Long Beach,1411.0,1196.0,1050.0,1140,1220,1240,1330,41611,67632,0.087,2.65,5.3,64.9,35.0,0.492,0.187,0.022,0.19,0.523,0.08571428571428572,0.07017543859649122,0.01639344262295082,0.07258064516129033,0.061215953023754516
141,90807,Bixby Knolls,Long Beach,1720.0,1426.0,1240.0,1370,1450,1460,1610,32412,89319,0.053,2.65,5.3,64.9,41.6,0.549,0.159,0.019,0.2,0.282,0.10483870967741936,0.058394160583941604,0.006896551724137931,0.10273972602739725,0.06821728700322405
142,90808,Long Beach,Long Beach,2104.0,1650.0,1370.0,1540,1690,1720,1930,39747,131535,0.046,2.65,5.3,64.9,43.3,0.762,0.058,0.023,0.166,0.257,0.12408759124087591,0.09740259740259741,0.01775147928994083,0.12209302325581395,0.09033367279730703
143,90810,Carson,Carson,1326.0,1152.0,990.0,1110,1170,1240,1250,38529,75152,0.08,3.56,4.7,63.0,36.4,0.417,0.111,0.023,0.258,0.564,0.12121212121212122,0.05405405405405406,0.05982905982905983,0.008064516129032258,0.06078993780606684
144,90813,Long Beach,Long Beach,1358.0,1156.0,1010.0,1090,1160,1240,1280,54565,48535,0.087,2.65,5.3,64.9,31.7,0.42,0.123,0.027,0.129,0.661,0.07920792079207921,0.06422018348623854,0.06896551724137931,0.03225806451612903,0.061162921508956525
145,90814,Long Beach,Long Beach,1790.0,1438.0,1230.0,1350,1460,1490,1660,19042,89776,0.038,2.65,5.3,64.9,36.2,0.774,0.093,0.024,0.09,0.309,0.0975609756097561,0.08148148148148149,0.02054794520547945,0.11409395973154363,0.07842109050706517
146,90815,Long Beach,Long Beach,1991.0,1638.0,1420.0,1550,1670,1690,1860,41837,110565,0.054,2.65,5.3,64.9,36.9,0.741,0.099,0.022,0.139,0.255,0.09154929577464789,0.07741935483870968,0.011976047904191617,0.10059171597633136,0.07038410362347014
147,91006,Arcadia,Arcadia,1882.0,1638.0,1430.0,1590,1700,1690,1780,31949,123358,0.043,2.85,2.5,67.2,45.2,0.357,0.025,0.016,0.573,0.195,0.11188811188811189,0.06918238993710692,-0.0058823529411764705,0.05325443786982249,0.0571106466884662
148,91007,Arcadia,Arcadia,1723.0,1436.0,1270.0,1380,1450,1460,1620,33804,93128,0.058,2.85,2.5,67.2,44.7,0.368,0.025,0.01,0.582,0.173,0.08661417322834646,0.050724637681159424,0.006896551724137931,0.1095890410958904,0.06345610093238356
149,91008,Bradbury,Bradbury,1748.0,1414.0,1200.0,1300,1480,1470,1620,1010,139167,0.077,2.77,0.0,64.4,53.3,0.617,0.0,0.0,0.391,0.165,0.08333333333333333,0.13846153846153847,-0.006756756756756757,0.10204081632653061,0.07926973284116141
150,91010,Azusa,Azusa,1753.0,1480.0,1300.0,1440,1510,1500,1650,26730,95172,0.061,3.25,2.8,64.4,43.2,0.512,0.064,0.051,0.182,0.556,0.1076923076923077,0.04861111111111111,-0.006622516556291391,0.1,0.06242022556178185
151,91011,La Cañada Flintridge,La Cañada Flintridge,2468.0,2018.0,1740.0,1920,2050,2080,2300,20588,210532,0.045,3.15,1.2,65.4,45.1,0.658,0.014,0.011,0.352,0.098,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
152,91016,Monrovia,Monrovia,1660.0,1406.0,1260.0,1350,1420,1430,1570,41852,95606,0.055,2.62,2.8,65.4,38.5,0.625,0.068,0.024,0.184,0.456,0.07142857142857142,0.05185185185185185,0.007042253521126761,0.0979020979020979,0.057056193675911984
153,91020,Montrose,La Cañada Flintridge,1864.0,1478.0,1250.0,1380,1500,1540,1720,8439,61771,0.084,3.15,1.2,65.4,41.5,0.666,0.015,0.012,0.344,0.126,0.104,0.08695652173913043,0.02666666666666667,0.11688311688311688,0.08362657632222849
154,91030,South Pasadena,South Pasadena,1989.0,1596.0,1350.0,1500,1620,1670,1840,26927,127882,0.052,2.57,1.8,66.0,40.6,0.559,0.046,0.015,0.391,0.182,0.1111111111111111,0.08,0.030864197530864196,0.10179640718562874,0.08094292895690101
155,91040,Sunland,Los Angeles,1568.0,1378.0,1180.0,1340,1440,1450,1480,21588,103823,0.083,2.77,27.1,65.2,43.6,0.814,0.038,0.032,0.118,0.223,0.13559322033898305,0.07462686567164178,0.006944444444444444,0.020689655172413793,0.059463546406870765
156,91042,Tujunga,Los Angeles,1574.0,1306.0,1120.0,1240,1340,1360,1470,28036,81324,0.087,2.68,27.1,65.2,45.1,0.777,0.029,0.033,0.114,0.264,0.10714285714285714,0.08064516129032258,0.014925373134328358,0.08088235294117647,0.07089893612717113
157,91101,Pasadena,Pasadena,2239.0,1768.0,1480.0,1650,1800,1850,2060,20583,86631,0.041,2.37,3.7,66.0,37.0,0.543,0.073,0.016,0.293,0.297,0.11486486486486487,0.09090909090909091,0.027777777777777776,0.11351351351351352,0.08676631176631178
158,91103,Pasadena,Pasadena,1485.0,1284.0,1150.0,1240,1320,1300,1410,26887,78513,0.059,2.37,3.7,66.0,40.0,0.4,0.171,0.02,0.148,0.486,0.0782608695652174,0.06451612903225806,-0.015151515151515152,0.08461538461538462,0.05306021701533623
159,91104,Pasadena,Pasadena,1767.0,1416.0,1220.0,1330,1420,1470,1640,34707,93856,0.048,2.37,3.7,66.0,41.2,0.592,0.097,0.02,0.153,0.389,0.09016393442622951,0.06766917293233082,0.035211267605633804,0.11564625850340136,0.07717265836689888
160,91105,Pasadena,Pasadena,2468.0,2018.0,1740.0,1920,2050,2080,2300,13869,163253,0.047,2.37,3.7,66.0,47.0,0.746,0.042,0.015,0.232,0.165,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
161,91106,Pasadena,Pasadena,1931.0,1632.0,1440.0,1560,1670,1670,1820,24172,91220,0.063,2.37,3.7,66.0,36.6,0.548,0.093,0.018,0.24,0.308,0.08333333333333333,0.07051282051282051,0.0,0.08982035928143713,0.06091662828189774
162,91107,Pasadena,Pasadena,1923.0,1556.0,1310.0,1460,1600,1630,1780,33729,120822,0.035,2.37,3.7,66.0,42.8,0.581,0.059,0.019,0.278,0.286,0.11450381679389313,0.0958904109589041,0.01875,0.09202453987730061,0.08029219190752446
163,91108,San Marino,San Marino,1813.0,1546.0,1440.0,1430,1550,1580,1730,12777,173312,0.044,3.14,0.3,63.6,45.8,0.291,0.008,0.005,0.712,0.064,-0.006944444444444444,0.08391608391608392,0.01935483870967742,0.0949367088607595,0.0478157967605191
164,91201,Glendale,Glendale,1841.0,1540.0,1350.0,1460,1560,1600,1730,22608,67102,0.107,2.63,1.5,65.2,40.9,0.833,0.035,0.013,0.08,0.199,0.08148148148148149,0.0684931506849315,0.02564102564102564,0.08125,0.06421641445185966
165,91202,Glendale,Glendale,1911.0,1582.0,1380.0,1500,1610,1630,1790,22875,90232,0.073,2.63,1.5,65.2,43.7,0.806,0.028,0.009,0.132,0.136,0.08695652173913043,0.07333333333333333,0.012422360248447204,0.09815950920245399,0.06771793113084124
166,91203,Glendale,Glendale,1883.0,1514.0,1270.0,1430,1540,1590,1740,16930,70650,0.094,2.63,1.5,65.2,36.8,0.689,0.049,0.005,0.174,0.191,0.12598425196850394,0.07692307692307693,0.032467532467532464,0.09433962264150944,0.08242862100015569
167,91204,Tropico,Glendale,1859.0,1526.0,1300.0,1450,1560,1590,1730,17302,69102,0.078,2.63,1.5,65.2,37.5,0.642,0.027,0.013,0.164,0.347,0.11538461538461539,0.07586206896551724,0.019230769230769232,0.0880503144654088,0.07463194201157766
168,91205,Tropico,Glendale,1829.0,1480.0,1270.0,1390,1500,1540,1700,36693,58290,0.079,2.63,1.5,65.2,39.9,0.71,0.023,0.009,0.137,0.261,0.09448818897637795,0.07913669064748201,0.02666666666666667,0.1038961038961039,0.07604691254665763
169,91206,Glendale,Glendale,1977.0,1568.0,1310.0,1460,1600,1650,1820,33252,85651,0.086,2.63,1.5,65.2,43.2,0.782,0.025,0.01,0.162,0.144,0.11450381679389313,0.0958904109589041,0.03125,0.10303030303030303,0.08616863269577507
170,91207,Glendale,Glendale,1923.0,1564.0,1350.0,1480,1600,1600,1790,10369,106984,0.042,2.63,1.5,65.2,43.3,0.884,0.032,0.015,0.115,0.066,0.0962962962962963,0.08108108108108109,0.0,0.11875,0.07403184434434434
171,91208,Glendale,Glendale,2108.0,1710.0,1430.0,1600,1760,1810,1950,16776,112485,0.107,2.63,1.5,65.2,48.0,0.815,0.044,0.034,0.193,0.145,0.11888111888111888,0.1,0.028409090909090908,0.07734806629834254,0.08115956902213808
172,91210,Glendale,Glendale,2468.0,2018.0,1740.0,1920,2050,2080,2300,555,105536,0.073,2.63,1.5,65.2,48.0,0.865,0.0,0.0,0.135,0.229,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
173,91214,La Crescenta,La Crescenta,2113.0,1748.0,1530.0,1670,1770,1790,1980,31097,126175,0.058,2.77,1.2,65.4,41.1,0.655,0.014,0.008,0.303,0.161,0.0915032679738562,0.059880239520958084,0.011299435028248588,0.10614525139664804,0.06720704847992773
174,91301,Agoura Hills,Agoura Hills,2468.0,2018.0,1740.0,1920,2050,2080,2300,24790,157582,0.053,2.82,1.6,66.3,44.4,0.829,0.027,0.011,0.106,0.161,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
175,91302,Hidden Hills,Calabasas,2468.0,2018.0,1740.0,1920,2050,2080,2300,25468,172651,0.093,2.62,1.4,66.3,43.7,0.845,0.045,0.009,0.127,0.07,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
176,91303,Canoga Park,Los Angeles,1753.0,1442.0,1260.0,1370,1460,1480,1640,28457,77437,0.071,2.97,27.1,65.8,32.3,0.466,0.049,0.026,0.118,0.592,0.0873015873015873,0.06569343065693431,0.0136986301369863,0.10810810810810811,0.068700439050904
177,91304,Canoga Park,Los Angeles,1713.0,1414.0,1220.0,1350,1440,1460,1600,52386,79673,0.075,2.92,27.1,65.8,40.3,0.512,0.061,0.016,0.188,0.429,0.10655737704918032,0.06666666666666667,0.013888888888888888,0.0958904109589041,0.07075083589091
178,91306,Winnetka,Los Angeles,1594.0,1316.0,1140.0,1240,1340,1370,1490,46669,82380,0.081,3.39,27.1,65.2,37.3,0.433,0.047,0.022,0.209,0.496,0.08771929824561403,0.08064516129032258,0.022388059701492536,0.08759124087591241,0.06958594002833539
179,91307,Bell Canyon,Los Angeles,2494.0,2022.0,1740.0,1910,2040,2100,2320,24855,130877,0.105,2.93,27.1,65.8,44.7,0.699,0.063,0.013,0.211,0.154,0.09770114942528736,0.06806282722513089,0.029411764705882353,0.10476190476190476,0.07498441152955135
180,91311,Chatsworth,Los Angeles,1991.0,1688.0,1460.0,1630,1730,1750,1870,39014,112172,0.054,2.76,27.1,65.8,42.8,0.635,0.085,0.024,0.211,0.28,0.11643835616438356,0.06134969325153374,0.011560693641618497,0.06857142857142857,0.06448004290724109
181,91316,Encino,Los Angeles,1967.0,1668.0,1490.0,1610,1690,1690,1860,28777,85354,0.08,2.25,27.1,65.8,45.0,0.854,0.044,0.011,0.108,0.15,0.08053691275167785,0.049689440993788817,0.0,0.10059171597633136,0.057704517430449506
182,91321,Newhall,Santa Clarita,1729.0,1432.0,1250.0,1370,1450,1470,1620,33560,84503,0.044,3.05,1.6,65.6,33.9,0.711,0.032,0.022,0.101,0.538,0.096,0.058394160583941604,0.013793103448275862,0.10204081632653061,0.06755702008968703
183,91324,Northridge,Los Angeles,1819.0,1524.0,1340.0,1460,1550,1560,1710,29500,100086,0.068,2.9,27.1,66.6,37.6,0.46,0.076,0.025,0.228,0.386,0.08955223880597014,0.06164383561643835,0.0064516129032258064,0.09615384615384616,0.06345038336987012
184,91325,Northridge,Los Angeles,1782.0,1478.0,1290.0,1410,1500,1520,1670,35250,83853,0.055,2.74,27.1,66.6,39.2,0.518,0.071,0.016,0.177,0.381,0.09302325581395349,0.06382978723404255,0.013333333333333334,0.09868421052631579,0.06721764672691129
185,91326,Northridge,Los Angeles,2140.0,1864.0,1690.0,1820,1910,1860,2040,38041,142170,0.039,2.86,27.1,66.6,44.1,0.531,0.095,0.014,0.356,0.134,0.07692307692307693,0.04945054945054945,-0.02617801047120419,0.0967741935483871,0.04924245236270232
186,91331,Arleta,Los Angeles,1452.0,1272.0,1130.0,1240,1310,1300,1380,100720,76942,0.064,4.31,27.1,66.6,34.3,0.551,0.023,0.024,0.052,0.88,0.09734513274336283,0.056451612903225805,-0.007633587786259542,0.06153846153846154,0.051925404849697654
187,91335,Reseda,Los Angeles,1810.0,1423.2,1116.0,1370,1480,1510,1640,76650,74632,0.068,3.11,27.1,65.8,37.9,0.481,0.055,0.014,0.142,0.525,0.22759856630824374,0.08029197080291971,0.02027027027027027,0.08609271523178808,0.10356338065330545
188,91340,San Fernando,Los Angeles,1579.0,1267.6,1008.0,1240,1320,1330,1440,34610,71664,0.069,3.99,27.1,65.8,35.5,0.567,0.022,0.019,0.038,0.914,0.23015873015873015,0.06451612903225806,0.007575757575757576,0.08270676691729323,0.09623934592100976
189,91342,Sylmar,Los Angeles,1646.0,1314.8,1044.0,1280,1370,1380,1500,96429,89264,0.063,3.66,27.1,65.2,36.9,0.597,0.046,0.029,0.087,0.744,0.2260536398467433,0.0703125,0.0072992700729927005,0.08695652173913043,0.09765548291471661
190,91343,North Hills,Los Angeles,1585.0,1250.0,990.0,1210,1300,1310,1440,62595,77790,0.07,3.46,27.1,65.8,35.4,0.448,0.067,0.018,0.154,0.594,0.2222222222222222,0.0743801652892562,0.007692307692307693,0.09923664122137404,0.10088283410629002
191,91344,Granada Hills,Los Angeles,2041.0,1673.6,1368.0,1660,1740,1720,1880,52481,111897,0.08,3.0,27.1,65.8,42.4,0.669,0.04,0.011,0.195,0.318,0.2134502923976608,0.04819277108433735,-0.011494252873563218,0.09302325581395349,0.08579301660559711
192,91345,Mission Hills,Los Angeles,1973.0,1534.2,1161.0,1460,1630,1650,1770,18895,93622,0.053,3.35,27.1,65.8,40.3,0.455,0.029,0.028,0.122,0.672,0.2575366063738157,0.11643835616438356,0.012269938650306749,0.07272727272727272,0.11474304347894468
193,91350,Canyon County,Santa Clarita,2266.0,1782.4,1422.0,1730,1860,1840,2060,41514,137626,0.045,3.05,1.6,65.6,36.7,0.73,0.061,0.019,0.164,0.305,0.21659634317862167,0.07514450867052024,-0.010752688172043012,0.11956521739130435,0.1001383452671008
194,91351,Canyon County,Santa Clarita,1943.0,1554.6,1233.0,1520,1620,1630,1770,34684,104214,0.067,3.05,1.6,65.6,37.2,0.704,0.054,0.023,0.092,0.515,0.23276561232765614,0.06578947368421052,0.006172839506172839,0.08588957055214724,0.09765437401754669
195,91352,Sun Valley,Los Angeles,1582.0,1261.8,999.0,1220,1320,1330,1440,47274,68132,0.059,3.71,27.1,65.2,37.0,0.625,0.028,0.029,0.057,0.698,0.22122122122122123,0.08196721311475409,0.007575757575757576,0.08270676691729323,0.09836773970725653
196,91354,Valencia,Santa Clarita,2538.0,1983.2,1566.0,1920,2050,2080,2300,33962,145442,0.061,3.05,1.6,65.6,39.4,0.682,0.07,0.019,0.22,0.194,0.2260536398467433,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.10354133757269271
197,91355,Valencia,Santa Clarita,2341.0,1834.0,1440.0,1770,1900,1940,2120,32886,109752,0.08,3.05,1.6,65.6,42.3,0.798,0.043,0.023,0.143,0.216,0.22916666666666666,0.07344632768361582,0.021052631578947368,0.09278350515463918,0.10411228277096726
