zip_code,0br_2020,0br_2021,0br_2022,0br_2023
91423,1670,1770,1790,1950
91436,1920,2050,2080,2300
91501,1540,1640,1640,1790
91502,1600,1580,1490,1500
91504,1530,1680,1710,1900
91505,1700,1820,1860,2070
91506,1370,1480,1520,1640
91601,1410,1530,1580,1780
91602,1640,1740,1770,1990
91604,1770,1870,1910,2110
91605,1190,1300,1350,1490
91606,1240,1320,1340,1470
91607,1430,1540,1570,1730
91702,1260,1330,1350,1480
91706,1200,1290,1300,1410
91711,1450,1570,1570,1730
91722,1360,1430,1460,1620
91723,1260,1300,1330,1460
91724,1460,1600,1650,1780
91731,1090,1160,1240,1300
91732,1140,1210,1240,1340
91733,1110,1170,1240,1300
91740,1370,1450,1490,1670
91741,1620,1700,1710,1860
91744,1160,1250,1270,1390
91745,1370,1460,1460,1600
91746,1320,1380,1350,1460
91748,1260,1330,1340,1460
91750,1290,1370,1370,1490
91754,1200,1250,1250,1350
91755,1240,1310,1290,1410
91765,1850,1960,1940,2080
91766,1090,1160,1240,1330
91767,1140,1210,1240,1320
91768,1090,1160,1240,1320
91770,1140,1230,1250,1370
91773,1620,1720,1720,1880
91775,1330,1470,1500,1680
91776,1270,1340,1350,1480
91780,1240,1380,1430,1640
91789,1920,2050,2080,2300
91790,1390,1470,1520,1710
91791,1370,1480,1490,1630
91792,1420,1520,1550,1710
91801,1280,1350,1370,1500
91803,1230,1310,1320,1420
93510,1690,1730,1560,1520
93534,1050,1160,1240,1250
93535,1050,1160,1240,1250
93536,1050,1160,1240,1250
93543,1310,1350,1290,1350
93550,1050,1160,1240,1250
93551,1600,1680,1670,1780
93552,1480,1580,1590,1700
93591,1100,1160,1240,1280
